 account_num | routing_num 
-------------+-------------
 123456789   | 987654321
 234567890   | 987654321
 345678901   | 987654321
 345678901   | 123456789
 631489275   | 987654321
 742590386   | 987654321
 853601497   | 987654321
 853601497   | 123456789
 810418283   | 123456789
 850281410   | 123456789
 185051832   | 123456789
 604380238   | 123456789
 680346834   | 123456789
 964712508   | 987654321
 075823619   | 987654321
 186934720   | 987654321
 297045831   | 987654321
 308156942   | 987654321
 419267053   | 987654321
 520378164   | 987654321
 631489275   | 456789012
 742590386   | 456789012
 853601497   | 456789012
 964712508   | 456789012
 075823619   | 456789012
 186934720   | 456789012
 297045831   | 456789012
 308156942   | 456789012
 419267053   | 456789012
 520378164   | 456789012
 631489275   | 789012345
 742590386   | 789012345
 853601497   | 789012345
 964712508   | 789012345
 075823619   | 789012345
 186934720   | 789012345
 297045831   | 789012345
 308156942   | 789012345
(38 rows)

